K02869|RP-L12,_rpl12;_large_subunit_ribosomal_protein_L12
K03825|aaaT;_L-phenylalanine/L-methionine_N-acetyltransferase_[EC:2.3.1.53_2.3.1.-]
K07329|flaF;_archaeal_flagellar_protein_FlaF
K15904|kae1-bud32;_bifunctional_N6-L-threonylcarbamoyladenine_synthase_/_protein_kinase_Bud32_[EC:2.3.1.234_2.7.11.1]
K03057|tfs;_transcription_factor_S
K01711|gmd,_GMDS;_GDPmannose_4,6-dehydratase_[EC:4.2.1.47]
K00763|pncB,_NAPRT1;_nicotinate_phosphoribosyltransferase_[EC:6.3.4.21]
K12589|RRP42,_EXOSC7;_exosome_complex_component_RRP42
K22447|cct,_ths;_archaeal_chaperonin
K07755|AS3MT;_arsenite_methyltransferase_[EC:2.1.1.137]
K05520|yhbO;_deglycase_[EC:3.5.1.124]
K26818|pfpI;_archaeal_arginyl_aminopeptidase_[EC:3.4.11.27]
K02033|ABC.PE.P;_peptide/nickel_transport_system_permease_protein
K18843|hicB;_antitoxin_HicB
K02600|nusA;_transcription_termination/antitermination_protein_NusA
K06282|hyaA,_hybO;_hydrogenase_small_subunit_[EC:1.12.99.6]
K14070|vhoG,_vhtG;_methanophenazine_hydrogenase_[EC:1.12.98.3]
K01173|ENDOG;_endonuclease_G,_mitochondrial
K03168|topA;_DNA_topoisomerase_I_[EC:5.6.2.1]
K03741|arsC;_arsenate_reductase_(thioredoxin)_[EC:1.20.4.4]
K19200|IAL;_isopenicillin-N_N-acyltransferase_like_protein
K03701|uvrA;_excinuclease_ABC_subunit_A
K01990|ABC-2.A;_ABC-2_type_transport_system_ATP-binding_protein
K00661|maa;_maltose_O-acetyltransferase_[EC:2.3.1.79]
K03969|pspA;_phage_shock_protein_A
K00400|K00400;_methyl_coenzyme_M_reductase_system,_component_A2
K14415|RTCB,_rtcB;_tRNA-splicing_ligase_RtcB_(3'-phosphate/5'-hydroxy_nucleic_acid_ligase)_[EC:6.5.1.8]
K13283|fieF;_ferrous-iron_efflux_pump_FieF
K02013|ABC.FEV.A;_iron_complex_transport_system_ATP-binding_protein_[EC:7.2.2.-]
K22903|vnfE;_nitrogenase_vanadium-cofactor_synthesis_protein_VnfE
K07577|K07577;_putative_mRNA_3-end_processing_factor
K04795|flpA;_fibrillarin-like_pre-rRNA_processing_protein
K02931|RP-L5,_MRPL5,_rplE;_large_subunit_ribosomal_protein_L5
K04077|groEL,_HSPD1;_chaperonin_GroEL_[EC:5.6.1.7]
K07213|ATOX1,_ATX1,_copZ,_golB;_copper_chaperone
K02885|RP-L19e,_RPL19;_large_subunit_ribosomal_protein_L19e
K07497|K07497;_putative_transposase
K02944|RP-LX,_rplX;_large_subunit_ribosomal_protein_LX
K18779|tgtA;_7-cyano-7-deazaguanine_tRNA-ribosyltransferase_[EC:2.4.2.48]
K01870|IARS,_ileS;_isoleucyl-tRNA_synthetase_[EC:6.1.1.5]
K11355|rcp1;_two-component_system,_chemotaxis_family,_response_regulator_Rcp1
K02948|RP-S11,_MRPS11,_rpsK;_small_subunit_ribosomal_protein_S11
K02016|ABC.FEV.S;_iron_complex_transport_system_substrate-binding_protein
K07049|K07049;_TatD-related_deoxyribonuclease
K03523|bioY;_biotin_transport_system_substrate-specific_component
K04566|lysK;_lysyl-tRNA_synthetase,_class_I_[EC:6.1.1.6]
K02638|petE;_plastocyanin
K08217|mef;_MFS_transporter,_DHA3_family,_macrolide_efflux_protein
K06174|ABCE1,_Rli1;_ATP-binding_cassette,_sub-family_E,_member_1
K16785|ecfT;_energy-coupling_factor_transport_system_permease_protein
K04487|iscS,_NFS1;_cysteine_desulfurase_[EC:2.8.1.7]
K13924|cheBR;_two-component_system,_chemotaxis_family,_CheB/CheR_fusion_protein_[EC:2.1.1.80_3.1.1.61]
K00555|TRMT1,_trm1;_tRNA_(guanine26-N2/guanine27-N2)-dimethyltransferase_[EC:2.1.1.215_2.1.1.216]
K03308|TC.NSS;_neurotransmitter:Na+_symporter,_NSS_family
K03926|cutA;_periplasmic_divalent_cation_tolerance_protein
K01142|E3.1.11.2,_xthA;_exodeoxyribonuclease_III_[EC:3.1.11.2]
K07178|RIOK1;_RIO_kinase_1_[EC:2.7.11.1]
K09013|sufC;_Fe-S_cluster_assembly_ATP-binding_protein
K00384|trxB,_TRR;_thioredoxin_reductase_(NADPH)_[EC:1.8.1.9]
K03634|lolA;_outer_membrane_lipoprotein_carrier_protein
K11924|mntR;_DtxR_family_transcriptional_regulator,_manganese_transport_regulator
K22585|nreA;_DNA_repair_protein_NreA
K02038|pstA;_phosphate_transport_system_permease_protein
K03442|mscS;_small_conductance_mechanosensitive_channel
K03799|htpX;_heat_shock_protein_HtpX_[EC:3.4.24.-]
K06287|yhdE;_nucleoside_triphosphate_pyrophosphatase_[EC:3.6.1.-]
K02069|STAR2,_fetB;_UDP-glucose/iron_transport_system_permease_protein
K02037|pstC;_phosphate_transport_system_permease_protein
K22083|mgsC;_methylamine---glutamate_N-methyltransferase_subunit_C_[EC:2.1.1.21]
K16180|pylB;_methylornithine_synthase_[EC:5.4.99.58]
K03531|ftsZ;_cell_division_protein_FtsZ
K03320|amt,_AMT,_MEP;_ammonium_transporter,_Amt_family
K01154|hsdS;_type_I_restriction_enzyme,_S_subunit_[EC:3.1.21.3]
K03076|secY;_preprotein_translocase_subunit_SecY
K07730|K07730;_putative_transcriptional_regulator
K15342|cas1;_CRISP-associated_protein_Cas1
K19002|mgs,_bgsB;_1,2-diacylglycerol_3-alpha-glucosyltransferase_[EC:2.4.1.337]
K07731|K07731;_putative_transcriptional_regulator
K15256|cmoA;_tRNA_(cmo5U34)-methyltransferase_[EC:2.1.1.-]
K01866|YARS,_tyrS;_tyrosyl-tRNA_synthetase_[EC:6.1.1.1]
K00809|DHPS,_dys;_deoxyhypusine_synthase_[EC:2.5.1.46]
K03297|emrE,_qac,_mmr,_smr;_small_multidrug_resistance_pump
K11741|sugE;_quaternary_ammonium_compound-resistance_protein_SugE
K17830|GGR;_digeranylgeranylglycerophospholipid_reductase_[EC:1.3.1.101_1.3.7.11]
K18855|E1.1.1.374;_UDP-N-acetylglucosamine_3-dehydrogenase_[EC:1.1.1.374]
K03826|yiaC;_putative_acetyltransferase_[EC:2.3.1.-]
K23356|trmB;_HTH-type_transcriptional_regulator,_sugar_sensing_transcriptional_regulator
K04484|radB;_DNA_repair_protein_RadB
K15496|wtpB;_molybdate/tungstate_transport_system_permease_protein
K02116|atpI;_ATP_synthase_protein_I
K01740|metY;_O-acetylhomoserine_(thiol)-lyase_[EC:2.5.1.49]
K03547|sbcD,_mre11;_DNA_repair_protein_SbcD/Mre11
K15631|ABA3;_molybdenum_cofactor_sulfurtransferase_[EC:2.8.1.9]
K02950|RP-S12,_MRPS12,_rpsL;_small_subunit_ribosomal_protein_S12
K13985|NAPEPLD;_N-acyl-phosphatidylethanolamine-hydrolysing_phospholipase_D_[EC:3.1.4.54]
K13663|gumF;_acyltransferase_[EC:2.3.1.-]
K07321|cooC;_CO_dehydrogenase_maturation_factor
K03972|pspE;_phage_shock_protein_E
K03724|lhr;_ATP-dependent_helicase_Lhr_and_Lhr-like_helicase_[EC:3.6.4.13_5.6.2.4]
K03744|lemA;_LemA_protein
K16182|pylD;_3-methylornithyl-N6-L-lysine_dehydrogenase_[EC:1.4.1.-]
K06218|relE,_stbE;_mRNA_interferase_RelE/StbE
K03892|arsR;_ArsR_family_transcriptional_regulator,_arsenate/arsenite/antimonite-responsive_transcriptional_repressor
K01867|WARS,_trpS;_tryptophanyl-tRNA_synthetase_[EC:6.1.1.2]
K03167|top6B;_DNA_topoisomerase_VI_subunit_B_[EC:5.6.2.2]
K02994|RP-S8,_rpsH;_small_subunit_ribosomal_protein_S8
K08971|K08971;_putative_membrane_protein
K03924|moxR;_MoxR-like_ATPase_[EC:3.6.3.-]
K00385|asrC;_anaerobic_sulfite_reductase_subunit_C
K07991|flaK;_archaeal_preflagellin_peptidase_FlaK_[EC:3.4.23.52]
K07485|K07485;_transposase
K19138|csm2;_CRISPR-associated_protein_Csm2
K07325|flaB;_archaeal_flagellin_FlaB
K00355|NQO1;_NAD(P)H_dehydrogenase_(quinone)_[EC:1.6.5.2]
K03422|mcrD;_methyl-coenzyme_M_reductase_subunit_D
K00179|iorA;_indolepyruvate_ferredoxin_oxidoreductase,_alpha_subunit_[EC:1.2.7.8]
K02984|RP-S3Ae,_RPS3A;_small_subunit_ribosomal_protein_S3Ae
K02032|ddpF;_peptide/nickel_transport_system_ATP-binding_protein
K02890|RP-L22,_MRPL22,_rplV;_large_subunit_ribosomal_protein_L22
K02039|phoU;_phosphate_transport_system_protein
K02347|polX,_dpx;_DNA_polymerase_(family_X)
K07052|K07052;_CAAX_protease_family_protein
K08303|prtC,_trhP;_U32_family_peptidase_[EC:3.4.-.-]
K09125|yhhQ;_queuosine_precursor_transporter
K07486|K07486;_transposase
K02986|RP-S4,_rpsD;_small_subunit_ribosomal_protein_S4
K03120|TBP,_tbp;_transcription_initiation_factor_TFIID_TATA-box-binding_protein
K15429|TRM5,_TRMT5;_tRNA_(guanine37-N1)-methyltransferase_[EC:2.1.1.228]
K02015|ABC.FEV.P;_iron_complex_transport_system_permease_protein
K03265|ETF1,_ERF1;_peptide_chain_release_factor_subunit_1
K02987|RP-S4e,_RPS4;_small_subunit_ribosomal_protein_S4e
K14069|vhoC,_vhtC;_methanophenazine_hydrogenase,_cytochrome_b_subunit_[EC:1.12.98.3]
K19140|csm5;_CRISPR-associated_protein_Csm5
K08659|pepDA,_pepDB;_dipeptidase_[EC:3.4.-.-]
K09119|cgi121;_KEOPS_complex_subunit_Cgi121
K03687|GRPE;_molecular_chaperone_GrpE
K02003|ABC.CD.A;_putative_ABC_transport_system_ATP-binding_protein
K05566|mnhB,_mrpB;_multicomponent_Na+:H+_antiporter_subunit_B
K07494|K07494;_putative_transposase
K03651|cpdA;_3',5'-cyclic-AMP_phosphodiesterase_[EC:3.1.4.53]
K07244|K07244;_mgtE-like_transporter
K09810|lolD;_lipoprotein-releasing_system_ATP-binding_protein_[EC:7.6.2.-]
K04656|hypF;_hydrogenase_maturation_protein_HypF
K10094|cbiK;_nickel_transport_protein
K07339|hicA;_mRNA_interferase_HicA_[EC:3.1.-.-]
K04800|rfcL;_replication_factor_C_large_subunit
K09759|aspC,_aspS;_nondiscriminating_aspartyl-tRNA_synthetase_[EC:6.1.1.23]
K17892|FTRC;_ferredoxin-thioredoxin_reductase_catalytic_chain_[EC:1.8.7.2]
K13993|HSP20;_HSP20_family_protein
K01883|CARS,_cysS;_cysteinyl-tRNA_synthetase_[EC:6.1.1.16]
K03424|tatD;_TatD_DNase_family_protein_[EC:3.1.21.-]
K03118|tatC;_sec-independent_protein_translocase_protein_TatC
K00428|E1.11.1.5;_cytochrome_c_peroxidase_[EC:1.11.1.5]
K04802|PCNA;_proliferating_cell_nuclear_antigen
K04651|hypA,_hybF;_hydrogenase_nickel_incorporation_protein_HypA/HybF
K00784|rnz;_ribonuclease_Z_[EC:3.1.26.11]
K07566|tsaC,_rimN,_SUA5,_YRDC;_L-threonylcarbamoyladenylate_synthase_[EC:2.7.7.87]
K07301|yrbG;_cation:H+_antiporter
K26599|gfcR;_HTH-type_transcriptional_regulator,_activator_of_D-glucose/D-fructose_catabolism
K02877|RP-L15e,_RPL15;_large_subunit_ribosomal_protein_L15e
K01802|E5.2.1.8;_peptidylprolyl_isomerase_[EC:5.2.1.8]
K20885|K20885;_beta-1,2-mannobiose_phosphorylase_/_1,2-beta-oligomannan_phosphorylase_[EC:2.4.1.339_2.4.1.340]
K03411|cheD;_chemotaxis_protein_CheD_[EC:3.5.1.44]
K23255|pilA;_archaeal_type_IV_pilus_assembly_protein_PilA
K10726|mcm;_replicative_DNA_helicase_Mcm_[EC:5.6.2.3]
K03041|rpoA1;_DNA-directed_RNA_polymerase_subunit_A'_[EC:2.7.7.6]
K06897|K06897;_7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene_5'-phosphate_synthase_[EC:2.5.1.105]
K06199|crcB,_FEX;_fluoride_exporter
K03116|tatA;_sec-independent_protein_translocase_protein_TatA
K07317|K07317;_adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K07490|feoC;_ferrous_iron_transport_protein_C
K09716|dtdA,_GEK1;_D-aminoacyl-tRNA_deacylase_[EC:3.1.1.96]
K03613|rnfE;_H+/Na+-translocating_ferredoxin:NAD+_oxidoreductase_subunit_E
K04773|sppA;_protease_IV_[EC:3.4.21.-]
K19088|cst1,_cas8a;_CRISPR-associated_protein_Cst1
K02683|priS,_pri1,_priA;_DNA_primase_small_subunit_[EC:2.7.7.102]
K07580|K07580;_Zn-ribbon_RNA-binding_protein
K06997|yggS,_PROSC;_PLP_dependent_protein
K22222|cetZ;_tubulin-like_protein_CetZ
K06865|K06865;_ATPase
K07561|DPH1,_dph2;_2-(3-amino-3-carboxypropyl)histidine_synthase_[EC:2.5.1.108]
K06173|truA,_PUS1;_tRNA_pseudouridine38-40_synthase_[EC:5.4.99.12]
K04076|lonB;_ATP-dependent_Lon_protease_[EC:3.4.21.53]
K07585|K07585;_tRNA_methyltransferase
K03136|TFIIE1,_GTF2E1,_TFA1,_tfe;_transcription_initiation_factor_TFIIE_subunit_alpha
K02020|modA;_molybdate_transport_system_substrate-binding_protein
K04070|pflX;_putative_pyruvate_formate_lyase_activating_enzyme_[EC:1.97.1.4]
K07491|rayT;_REP-associated_tyrosine_transposase
K00440|frhA;_coenzyme_F420_hydrogenase_subunit_alpha_[EC:1.12.98.1]
K07459|ybjD;_putative_ATP-dependent_endonuclease_of_the_OLD_family
K03110|ftsY;_fused_signal_recognition_particle_receptor
K03824|yhbS;_putative_acetyltransferase_[EC:2.3.1.-]
K16181|pylC;_3-methylornithine--L-lysine_ligase_[EC:6.3.2.59]
K14475|ICP;_inhibitor_of_cysteine_peptidase
K03056|rpoL;_DNA-directed_RNA_polymerase_subunit_L_[EC:2.7.7.6]
K17870|nox1;_NADH_oxidase_(H2O2-forming)_[EC:1.6.3.3]
K06928|NTPCR;_nucleoside-triphosphatase_[EC:3.6.1.15]
K19664|carS;_CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol_synthase_[EC:2.7.7.67]
K06942|ychF;_ribosome-binding_ATPase
K04043|dnaK,_HSPA9;_molecular_chaperone_DnaK
K13812|fae-hps;_bifunctional_enzyme_Fae/Hps_[EC:4.2.1.147_4.1.2.43]
K01178|SGA1;_glucoamylase_[EC:3.2.1.3]
K02590|nifHD2,_nifI2;_nitrogen_regulatory_protein_PII_2
K03298|TC.DME;_drug/metabolite_transporter,_DME_family
K00266|gltD;_glutamate_synthase_(NADPH)_small_chain_[EC:1.4.1.13]
K17722|preT;_dihydropyrimidine_dehydrogenase_(NAD+)_subunit_PreT_[EC:1.3.1.1]
K03412|cheB;_two-component_system,_chemotaxis_family,_protein-glutamate_methylesterase/glutaminase_[EC:3.1.1.61_3.5.1.44]
K23753|ppk2,_pap;_AMP-polyphosphate_phosphotransferase_[EC:2.7.4.33]
K09140|TSR3;_rRNA_small_subunit_aminocarboxypropyltransferase_[EC:2.5.1.157]
K02922|RP-L37e,_RPL37;_large_subunit_ribosomal_protein_L37e
K01153|hsdR;_type_I_restriction_enzyme,_R_subunit_[EC:3.1.21.3]
K01843|kamA;_lysine_2,3-aminomutase_[EC:5.4.3.2]
K03238|EIF2S2;_translation_initiation_factor_2_subunit_2
K02871|RP-L13,_MRPL13,_rplM;_large_subunit_ribosomal_protein_L13
K06877|K06877;_DEAD/DEAH_box_helicase_domain-containing_protein
K02007|cbiM;_cobalt/nickel_transport_system_permease_protein
K02933|RP-L6,_MRPL6,_rplF;_large_subunit_ribosomal_protein_L6
K03679|RRP4,_EXOSC2;_exosome_complex_component_RRP4
K03421|mcrC;_methyl-coenzyme_M_reductase_subunit_C
K00573|E2.1.1.77,_pcm;_protein-L-isoaspartate(D-aspartate)_O-methyltransferase_[EC:2.1.1.77]
K06864|larE;_pyridinium-3,5-biscarboxylic_acid_mononucleotide_sulfurtransferase_[EC:4.4.1.37]
K15495|wtpA;_molybdate/tungstate_transport_system_substrate-binding_protein
K12140|hyfE;_hydrogenase-4_component_E_[EC:1.-.-.-]
K17884|E2.7.8.39;_archaetidylinositol_phosphate_synthase_[EC:2.7.8.39]
K16868|tehB;_tellurite_methyltransferase_[EC:2.1.1.265]
K11936|pgaC,_icaA;_poly-beta-1,6-N-acetyl-D-glucosamine_synthase_[EC:2.4.1.-]
K01889|FARSA,_pheS;_phenylalanyl-tRNA_synthetase_alpha_chain_[EC:6.1.1.20]
K06518|cidA;_holin-like_protein
K07496|K07496;_putative_transposase
K07451|mcrA;_5-methylcytosine-specific_restriction_enzyme_A_[EC:3.1.21.-]
K26996|sdpI;_immunity_protein,_SdpI_family
K03432|psmA,_prcA;_proteasome_alpha_subunit_[EC:3.4.25.1]
K01486|ade;_adenine_deaminase_[EC:3.5.4.2]
K16183|ramA;_[Co(II)_methylated_amine-specific_corrinoid_protein]_reductase_[EC:1.16.99.1]
K12141|hyfF;_hydrogenase-4_component_F_[EC:1.-.-.-]
K22373|larA;_lactate_racemase_[EC:5.1.2.1]
K03568|tldD;_TldD_protein
K22165|fpoJ;_F420H2_dehydrogenase_subunit_J_[EC:1.5.98.3]
K03410|cheC;_chemotaxis_protein_CheC
K04488|iscU,_nifU;_nitrogen_fixation_protein_NifU_and_related_proteins
K23684|aglJ;_dolichol-phosphate_hexosyltransferase_[EC:2.4.1.-]
K04797|pfdA,_PFDN5;_prefoldin_alpha_subunit
K18853|dmrX;_dihydromethanopterin_reductase_(acceptor)_[EC:1.5.99.15]
K04564|SOD2;_superoxide_dismutase,_Fe-Mn_family_[EC:1.15.1.1]
K02002|proX;_glycine_betaine/proline_transport_system_substrate-binding_protein
K02036|pstB;_phosphate_transport_system_ATP-binding_protein_[EC:7.3.2.1]
K20999|pslF;_polysaccharide_biosynthesis_protein_PslF
K02040|pstS;_phosphate_transport_system_substrate-binding_protein
K19244|ala;_alanine_dehydrogenase_[EC:1.4.1.1]
K04103|ipdC;_indolepyruvate_decarboxylase_[EC:4.1.1.74]
K07238|TC.ZIP,_zupT,_ZRT3,_ZIP2;_zinc_transporter,_ZIP_family
K08482|kaiC;_circadian_clock_protein_KaiC
K04652|hypB;_hydrogenase_nickel_incorporation_protein_HypB
K03734|apbE;_FAD:protein_FMN_transferase_[EC:2.7.1.180]
K05565|mnhA,_mrpA;_multicomponent_Na+:H+_antiporter_subunit_A
K22223|pgp;_phosphoglycolate_phosphatase_[EC:3.1.3.18]
K07016|csm1,_cas10;_CRISPR-associated_protein_Csm1
K11131|DKC1,_NOLA4,_CBF5;_H/ACA_ribonucleoprotein_complex_subunit_4_[EC:5.4.99.-]
K03310|TC.AGCS;_alanine_or_glycine:cation_symporter,_AGCS_family
K03059|rpoP;_DNA-directed_RNA_polymerase_subunit_P_[EC:2.7.7.6]
K02006|cbiO;_cobalt/nickel_transport_system_ATP-binding_protein
K07729|K07729;_putative_transcriptional_regulator
K16238|eat,_eutP;_ethanolamine_permease
K05568|mnhD,_mrpD;_multicomponent_Na+:H+_antiporter_subunit_D
K14168|CTU1,_NCS6;_cytoplasmic_tRNA_2-thiolation_protein_1_[EC:2.7.7.-]
K21947|ttuA;_tRNA-5-methyluridine54_2-sulfurtransferase_[EC:2.8.1.15]
K05919|dfx;_superoxide_reductase_[EC:1.15.1.2]
K02982|RP-S3,_rpsC;_small_subunit_ribosomal_protein_S3
K07457|K07457;_endonuclease_III_related_protein
K01533|copB;_P-type_Cu2+_transporter_[EC:7.2.2.9]
K17686|copA,_ctpA,_ATP7;_P-type_Cu+_transporter_[EC:7.2.2.8]
K00808|hss;_homospermidine_synthase_[EC:2.5.1.44]
K23683|aglD;_glycosyltransferase_AglD_[EC:2.4.1.-]
K07100|K07100;_putative_phosphoribosyl_transferase
K03605|hyaD,_hybD;_hydrogenase_maturation_protease_[EC:3.4.23.-]
K03703|uvrC;_excinuclease_ABC_subunit_C
K07587|sepRS;_O-phosphoseryl-tRNA_synthetase_[EC:6.1.1.27]
K15527|K15527;_cysteate_synthase_[EC:2.5.1.76]
K01338|lon;_ATP-dependent_Lon_protease_[EC:3.4.21.53]
K25904|pssE;_exopolysaccharide_biosynthesis_glucuronosyltransferase_PssE
K03413|cheY;_two-component_system,_chemotaxis_family,_chemotaxis_protein_CheY
K02978|RP-S27e,_RPS27;_small_subunit_ribosomal_protein_S27e
K21903|cadC,_smtB;_ArsR_family_transcriptional_regulator,_lead/cadmium/zinc/bismuth-responsive_transcriptional_repressor
K03307|TC.SSS;_solute:Na+_symporter,_SSS_family
K06911|PIR;_quercetin_2,3-dioxygenase_[EC:1.13.11.24]
K23997|nnr;_ADP-dependent_NAD(P)H-hydrate_dehydratase_/_NAD(P)H-hydrate_epimerase_[EC:4.2.1.136_5.1.99.6]
