knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00040	595.90	full	all	0.710977	2217	1863	1587	771	3.62	0.590	fructuronate reductase [EC:1.1.1.57]
K00041	264.80	full	all	0.996155	1329	1169	1426	561	2.27	0.589	tagaturonate reductase [EC:1.1.1.58]
K00042	389.80	domain	all	0.718972	2501	2025	1158	526	3.73	0.590	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	435.90	full	all	0.989118	372	326	574	375	1.76	0.590	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	423.20	domain	all	0.956997	337	325	1369	411	2.25	0.589	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	652.00	full	all	0.930160	1101	1021	1202	628	2.62	0.590	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	319.00	domain	all	0.916773	1836	1501	792	274	2.42	0.590	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	555.50	full	all	0.995160	586	418	492	383	1.10	0.590	lactaldehyde reductase [EC:1.1.1.77]
K00049	421.17	full	all	0.901095	1079	1048	2257	403	2.93	0.590	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051	665.90	full	all	0.996491	163	145	705	436	0.69	0.589	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	435.77	domain	all	0.934676	7991	6925	2467	531	4.94	0.590	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	116.13	full	all	0.999130	7896	6331	2464	624	4.75	0.590	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	301.87	full	trim	0.994211	1410	1204	1736	974	3.79	0.590	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	378.03	domain	all	0.989996	983	907	950	377	1.62	0.589	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	269.07	domain	all	0.943004	8240	6749	2420	492	5.81	0.590	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	325.70	full	all	0.758036	12847	11202	5496	540	8.82	0.590	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	273.00	full	all	0.471744	34748	30376	6738	439	18.92	0.590	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	350.63	domain	all	0.982380	2334	1816	1004	492	3.50	0.590	threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	509.63	domain	all	0.949459	358	333	1022	397	1.97	0.590	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	328.83	full	all	0.936828	90	89	813	359	1.51	0.589	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	433.57	domain	all	1.000000	36	35	383	318	0.80	0.592	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	252.87	domain	trim	0.970738	1712	1597	1732	438	4.69	0.590	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	334.17	domain	all	0.929598	2532	2065	947	363	3.61	0.590	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	484.93	full	all	0.991602	479	423	684	437	1.54	0.590	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	301.37	full	all	0.825516	6853	6213	3677	490	11.08	0.590	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	279.43	domain	all	0.993902	839	496	601	284	1.74	0.590	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	213.17	domain	all	0.931989	1676	1567	2576	386	6.05	0.590	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	408.47	full	all	0.877432	651	625	1717	543	3.54	0.590	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	442.97	domain	all	0.968486	380	358	1701	531	1.80	0.591	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	208.70	full	all	0.964823	829	788	1305	355	4.86	0.590	sepiapterin reductase [EC:1.1.1.153]
K00073	452.80	full	all	0.997567	301	208	433	349	1.00	0.591	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	413.67	domain	all	0.780120	8205	7408	4347	637	12.59	0.590	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	67.23	full	all	0.994348	8032	6861	3908	468	7.84	0.590	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	271.87	domain	trim	0.828411	1052	776	656	349	4.25	0.590	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	78.27	full	all	0.988701	8312	7232	4887	485	22.60	0.590	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	256.37	full	all	0.962815	999	967	3226	549	4.51	0.590	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	324.73	domain	all	0.759439	1841	1766	2803	405	5.90	0.590	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	438.87	domain	all	0.937855	116	111	810	308	1.21	0.591	carbonyl reductase 2 [EC:1.1.1.184]
K00082	350.83	full	all	1.000000	15	7	222	207	0.52	0.592	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	563.87	full	all	0.634419	987	923	966	458	1.78	0.590	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	469.00	domain	all	0.688298	229	217	636	327	2.53	0.590	carbonyl reductase 3 [EC:1.1.1.184]
K00085	666.53	full	all	1.000000	8	8	310	310	0.43	0.590	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	625.87	full	all	0.942551	168	122	460	386	1.39	0.590	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	846.30	domain	trim	0.764600	501	327	1723	742	4.04	0.590	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	374.63	full	all	0.919005	11113	9150	5583	878	5.07	0.590	IMP dehydrogenase [EC:1.1.1.205]
K00089	737.93	full	all	0.666667	6	5	344	323	0.42	0.586	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	432.13	domain	trim	0.799550	1611	1249	557	324	1.59	0.589	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	327.23	full	all	0.962237	526	453	659	332	2.50	0.590	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	549.37	domain	all	0.667057	3	3	389	381	0.59	0.592	methanol dehydrogenase [EC:1.1.1.244]
K00094	487.83	full	all	0.977037	216	112	386	347	0.78	0.590	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	747.53	full	all	0.650794	4	4	365	360	0.44	0.592	mannitol dehydrogenase [EC:1.1.1.255]
K00096	173.67	full	trim	0.996950	1297	1149	1237	472	6.97	0.590	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	422.30	full	all	0.851398	3870	3366	2037	466	3.83	0.590	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	360.67	domain	all	0.990639	996	862	731	358	1.77	0.590	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	225.80	full	all	1.000000	6909	5961	2233	529	2.96	0.590	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	541.47	full	all	0.934582	111	98	476	387	1.34	0.589	butanol dehydrogenase [EC:1.1.1.-]
K00101	476.53	domain	all	0.570506	3939	3311	4284	659	4.51	0.590	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	512.30	full	all	0.953719	2671	2481	6617	637	4.77	0.590	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	391.87	full	all	0.903692	1103	1053	3615	527	5.53	0.590	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	528.17	full	all	0.910937	4577	4084	3566	675	7.47	0.590	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
K00105	824.63	full	all	0.957573	258	204	981	609	1.04	0.589	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	1591.80	full	all	0.810147	1950	1934	12073	1457	2.59	0.590	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	493.67	full	trim	0.979811	128	122	1002	520	0.99	0.591	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	737.90	full	all	0.959221	2568	2214	4772	713	3.02	0.590	choline dehydrogenase [EC:1.1.99.1]
K00109	444.80	full	all	0.944164	926	897	2161	555	2.86	0.590	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	146.40	full	all	0.926566	9612	8429	8124	741	9.84	0.590	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	119.93	full	all	0.993348	870	672	980	440	4.32	0.590	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	274.97	full	all	0.995378	1118	871	1367	659	3.68	0.590	glycerol-3-phosphate dehydrogenase subunit C
K00114	665.10	domain	all	0.776167	934	843	2477	725	6.36	0.590	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	724.10	domain	all	0.948799	684	665	2703	757	2.31	0.590	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	220.37	full	all	0.999651	3431	2871	1683	575	2.41	0.590	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	801.50	full	trim	0.732136	2063	1792	4171	832	7.48	0.590	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	336.70	full	all	0.935625	265	240	825	381	3.97	0.590	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	543.10	full	all	0.965839	198	152	581	371	1.14	0.591	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	441.23	full	all	0.988506	77	46	817	379	0.92	0.591	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	629.37	domain	all	0.706243	7311	6264	3304	591	4.84	0.590	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	225.03	domain	all	0.990301	835	728	1794	725	3.09	0.590	formate dehydrogenase [EC:1.17.1.9]
K00123	842.47	full	all	0.654448	5811	4895	5916	885	6.11	0.590	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	154.37	domain	trim	0.706625	3921	3194	2369	336	6.32	0.590	formate dehydrogenase iron-sulfur subunit
K00125	197.07	full	all	1.000000	303	276	647	394	3.15	0.590	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	49.33	full	all	0.998046	904	765	321	163	5.38	0.590	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	80.67	domain	trim	0.707025	3267	2623	1635	295	12.34	0.590	formate dehydrogenase subunit gamma
K00128	585.90	full	all	0.294813	15078	13925	9940	621	8.47	0.590	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	770.87	full	all	0.642703	1082	1052	4193	590	2.81	0.590	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	694.40	domain	all	0.672781	4842	4329	2540	617	4.11	0.590	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	480.63	domain	trim	0.992998	1264	1076	1017	503	1.74	0.589	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	655.47	full	all	0.942724	471	405	890	493	1.50	0.590	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	218.23	full	all	0.994391	9316	7786	2435	605	5.93	0.590	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	425.43	full	all	0.755299	14159	11609	5381	500	6.40	0.590	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00135	587.53	domain	all	0.652048	11722	10450	4575	750	5.07	0.590	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	684.47	domain	all	0.974179	973	779	813	476	0.93	0.590	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	786.77	domain	all	0.979902	3621	3008	1237	980	1.71	0.590	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	830.23	full	trim	0.829378	676	658	1848	638	1.80	0.590	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	507.23	domain	all	0.996895	7146	6295	5241	1273	4.04	0.590	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	648.70	domain	trim	0.893468	755	663	682	486	1.50	0.589	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	418.63	domain	all	0.995946	748	743	6952	1075	4.38	0.590	acyl-CoA synthetase [EC:6.2.1.-]
K00143	946.80	domain	trim	0.996997	169	163	2632	1406	1.20	0.589	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	124.50	full	all	0.902875	7188	6314	2018	416	3.74	0.590	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	698.77	domain	all	0.499079	1393	1142	891	498	1.93	0.590	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	552.37	full	all	0.958253	7076	6251	2123	616	4.05	0.590	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	407.90	full	all	0.993729	1333	1115	826	387	1.09	0.591	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	774.50	domain	all	0.971246	590	574	1786	634	1.25	0.591	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	334.77	domain	trim	0.881096	1256	1046	636	336	2.96	0.590	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00151	718.47	domain	all	0.980556	1164	918	723	494	1.26	0.589	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	1091.27	full	all	1.000000	10	8	483	483	0.42	0.592	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	400.37	domain	all	0.994111	1027	938	1048	452	1.32	0.589	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	559.87	domain	all	0.958092	1783	1599	1118	483	1.77	0.591	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	988.80	domain	all	0.916667	21	21	1171	1032	0.98	0.589	L-tyrosine reductase [EC:1.2.1.101]
K00156	714.80	full	trim	0.945082	3007	2611	2339	701	2.67	0.590	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	2221.33	full	all	0.952342	760	759	7205	1555	1.41	0.589	aldehyde oxidase [EC:1.2.3.1]
K00158	616.63	full	trim	0.943135	857	665	1024	576	2.15	0.590	pyruvate oxidase [EC:1.2.3.3]
K00161	431.83	full	all	0.799044	5761	4841	4001	514	5.04	0.590	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	491.50	full	all	0.807510	5342	4477	2483	454	2.51	0.590	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00163	346.10	full	all	1.000000	4903	4180	2998	996	2.52	0.590	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	1210.03	domain	all	0.884170	6607	5686	7162	1039	2.10	0.590	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	423.70	full	all	0.760665	4822	4255	3940	601	4.47	0.590	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
K00167	466.50	full	all	0.800956	4692	3986	3420	451	2.06	0.590	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00169	290.13	full	all	0.870351	1192	1067	1490	424	2.83	0.590	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	313.30	full	all	0.816043	1109	945	976	333	2.84	0.590	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	100.10	domain	trim	0.813925	820	639	450	141	3.19	0.590	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	151.70	domain	trim	0.861817	1004	864	881	307	4.76	0.590	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	258.93	full	all	0.918065	3615	3257	2202	751	5.31	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	235.40	domain	all	0.927023	3672	3206	1703	444	4.78	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	69.00	domain	all	0.965904	1248	1036	369	159	4.75	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	153.33	domain	all	0.895093	1319	1147	599	233	3.95	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	432.43	full	trim	0.985980	1391	1325	3268	831	3.93	0.590	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	149.47	full	all	0.954017	1331	1249	1303	527	7.63	0.590	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	238.97	full	all	0.998413	671	631	3434	601	2.59	0.590	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	488.50	domain	all	0.966156	946	780	1456	503	2.51	0.590	wingless-type MMTV integration site family, member 2
K00184	260.57	full	all	0.984615	112	99	561	290	1.31	0.590	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	312.63	domain	all	0.994152	95	84	552	395	1.44	0.590	dimethyl sulfoxide reductase membrane subunit
K00186	465.43	full	trim	0.833333	179	157	522	381	1.71	0.591	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
K00187	531.70	full	all	0.772332	149	138	621	479	1.49	0.590	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
K00188	102.27	domain	all	0.898035	128	107	223	123	1.64	0.589	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
K00189	295.23	full	trim	0.788562	60	57	259	183	1.63	0.589	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00192	697.87	full	all	1.000000	133	120	936	778	1.00	0.589	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	619.67	full	trim	0.941214	141	109	722	454	1.33	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	275.80	full	trim	0.954187	254	197	609	373	1.58	0.589	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00195	97.87	full	all	0.990739	131	109	233	173	2.76	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	148.17	domain	trim	0.555104	649	568	655	212	3.21	0.590	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	334.03	full	all	1.000000	268	233	902	459	1.44	0.591	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	371.20	full	all	0.999125	619	572	1545	658	2.15	0.590	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	423.47	full	all	1.000000	445	421	955	547	1.62	0.589	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	175.73	full	all	0.998928	514	467	1123	465	4.63	0.590	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	193.20	full	all	1.000000	434	407	768	417	3.39	0.590	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	122.17	domain	trim	0.931232	249	197	221	130	3.30	0.590	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	171.57	domain	all	0.988506	56	47	210	155	1.06	0.589	4Fe-4S ferredoxin
K00205	204.53	domain	all	0.966335	218	186	765	421	2.10	0.590	4Fe-4S ferredoxin
K00206	618.80	domain	all	0.996296	335	275	576	482	0.99	0.591	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00207	419.90	domain	all	0.987896	855	832	2995	1089	1.68	0.590	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	263.07	domain	all	0.960091	6197	4841	1451	440	3.73	0.590	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	139.90	full	all	0.999611	1502	1287	1240	406	2.44	0.591	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	421.97	full	all	0.984210	190	187	1362	475	0.96	0.590	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	665.27	domain	trim	0.537321	83	80	388	323	0.62	0.590	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	429.87	full	all	0.974517	771	747	1793	566	2.80	0.590	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	125.57	domain	all	1.000000	544	503	1171	373	2.65	0.590	biliverdin reductase [EC:1.3.1.24]
K00215	136.13	full	all	0.985371	8519	7232	2041	379	9.07	0.590	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	262.50	domain	trim	0.994426	1177	903	950	446	2.59	0.590	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	285.13	full	trim	0.966389	877	803	847	369	3.41	0.590	maleylacetate reductase [EC:1.3.1.32]
K00218	255.97	domain	trim	0.965435	604	564	1034	390	2.62	0.590	protochlorophyllide reductase [EC:1.3.1.33]
K00219	565.60	full	all	0.999782	2627	2294	2424	893	1.59	0.590	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	385.10	full	all	0.976475	818	740	654	320	1.65	0.590	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	82.50	full	all	0.882011	165	116	625	216	4.34	0.590	alkylmercury lyase [EC:4.99.1.2]
