K00844	HKhexokinase[EC2.7.1.1]
K04022	eutGalcoholdehydrogenase
K22473	adhAalcoholdehydrogenase(quinone)dehydrogenasesubunit[EC1.1.5.5]
K22474	adhBalcoholdehydrogenase(quinone)cytochromecsubunit[EC1.1.5.5]
K00128	ALDHaldehydedehydrogenase(NAD+)[EC1.2.1.3]
K14085	ALDH7A1aldehydedehydrogenasefamily7memberA1[EC1.2.1.311.2.1.81.2.1.3]
K00149	ALDH9A1aldehydedehydrogenasefamily9memberA1[EC1.2.1.471.2.1.3]
K00129	ALDH3aldehydedehydrogenase(NAD(P)+)[EC1.2.1.5]
K00138	aldBaldehydedehydrogenase[EC1.2.1.-]
K01895	ACSS12acsacetyl-CoAsynthetase[EC6.2.1.1]
K01913	AAE7ACN1acetate/butyrate---CoAligase[EC6.2.1.16.2.1.2]
K01905	acdAacetate---CoAligase(ADP-forming)subunitalpha[EC6.2.1.13]
K22224	acdBacetate---CoAligase(ADP-forming)subunitbeta[EC6.2.1.13]
K24012	acdABacetate---CoAligase(ADP-forming)[EC6.2.1.13]
K01785	galMGALMaldose1-epimerase[EC5.1.3.3]
K01085	agpglucose-1-phosphatase[EC3.1.3.10]
K20866	yihXglucose-1-phosphatase[EC3.1.3.10]
K01835	pgmphosphoglucomutase[EC5.4.2.2]
K15778	pmm-pgmphosphomannomutase/phosphoglucomutase[EC5.4.2.85.4.2.2]
K15779	PGM2phosphoglucomutase/phosphopentomutase[EC5.4.2.25.4.2.7]
K01084	G6PCglucose-6-phosphatase[EC3.1.3.9]
K00886	ppgKpolyphosphateglucokinase[EC2.7.1.63]
K08074	ADPGKADP-dependentglucokinase[EC2.7.1.147]
K01792	E5.1.3.15glucose-6-phosphate1-epimerase[EC5.1.3.15]
K01837	BPGMbisphosphoglycerate/phosphoglyceratemutase[EC5.4.2.45.4.2.11]
K03103	MINPP1multipleinositol-polyphosphatephosphatase/23-bisphosphoglycerate3-phosphatase[EC3.1.3.623.1.3.80]
K11389	gaporglyceraldehyde-3-phosphatedehydrogenase(ferredoxin)[EC1.2.7.6]
K00131	gapNglyceraldehyde-3-phosphatedehydrogenase(NADP+)[EC1.2.1.9]
K18978	gapNglyceraldehyde-3-phosphatedehydrogenase[NAD(P)+][EC1.2.1.90]
K01596	E4.1.1.32pckAPCKphosphoenolpyruvatecarboxykinase(GTP)[EC4.1.1.32]
K01610	pckAphosphoenolpyruvatecarboxykinase(ATP)[EC4.1.1.49]
K01222	E3.2.1.86AcelF6-phospho-beta-glucosidase[EC3.2.1.86]
K01223	E3.2.1.86BbglA6-phospho-beta-glucosidase[EC3.2.1.86]
K02777	crrsugarPTSsystemEIIAcomponent[EC2.7.1.-]
K02779	ptsGglucosePTSsystemEIICBorEIICBAcomponent[EC2.7.1.199]
K02791	malXmaltose/glucosePTSsystemEIICBcomponent[EC2.7.1.1992.7.1.208]
K20118	ptsGglcAglcBglucosePTSsystemEIICBAorEIICBcomponent[EC2.7.1.199]
K02753	ascFbeta-glucoside(arbutin/salicin/cellobiose)PTSsystemEIICBcomponent[EC2.7.1.-]
K01647	CSgltAcitratesynthase[EC2.3.3.1]
K01648	ACLYATPcitrate(pro-S)-lyase[EC2.3.3.8]
K15230	aclAATP-citratelyasealpha-subunit[EC2.3.3.8]
K15231	aclBATP-citratelyasebeta-subunit[EC2.3.3.8]
K05942	E2.3.3.3citrate(Re)-synthase[EC2.3.3.3]
K01681	ACOacnAaconitatehydratase[EC4.2.1.3]
K01682	acnBaconitatehydratase2/2-methylisocitratedehydratase[EC4.2.1.34.2.1.99]
K00031	IDH1IDH2icdisocitratedehydrogenase[EC1.1.1.42]
K00030	IDH3isocitratedehydrogenase(NAD+)[EC1.1.1.41]
K17753	HICDHisocitrate--homoisocitratedehydrogenase[EC1.1.1.286]
K00164	OGDHsucA2-oxoglutaratedehydrogenaseE1component[EC1.2.4.2]
K00658	DLSTsucB2-oxoglutaratedehydrogenaseE2component(dihydrolipoamidesuccinyltransferase)[EC2.3.1.61]
K01616	kgdmultifunctional2-oxoglutaratemetabolismenzyme[EC2.2.1.54.1.1.711.2.4.22.3.1.61]
K00177	korCoorC2-oxoglutarateferredoxinoxidoreductasesubunitgamma[EC1.2.7.3]
K00176	korDoorD2-oxoglutarateferredoxinoxidoreductasesubunitdelta[EC1.2.7.3]
K01902	sucDsuccinyl-CoAsynthetasealphasubunit[EC6.2.1.5]
K01903	sucCsuccinyl-CoAsynthetasebetasubunit[EC6.2.1.5]
K01899	LSC1succinyl-CoAsynthetasealphasubunit[EC6.2.1.46.2.1.5]
K01900	LSC2succinyl-CoAsynthetasebetasubunit[EC6.2.1.46.2.1.5]
K18118	aarCcat1succinyl-CoAacetateCoA-transferase[EC2.8.3.18]
K00234	SDHASDH1succinatedehydrogenase(ubiquinone)flavoproteinsubunit[EC1.3.5.1]
K00235	SDHBSDH2succinatedehydrogenase(ubiquinone)iron-sulfursubunit[EC1.3.5.1]
K00236	SDHCSDH3succinatedehydrogenase(ubiquinone)cytochromeb560subunit
K00237	SDHDSDH4succinatedehydrogenase(ubiquinone)membraneanchorsubunit
K25801	SDH4succinatedehydrogenase(ubiquinone)subunit4
K00239	sdhAfrdAsuccinatedehydrogenaseflavoproteinsubunit[EC1.3.5.1]
K00240	sdhBfrdBsuccinatedehydrogenaseiron-sulfursubunit[EC1.3.5.1]
K00241	sdhCfrdCsuccinatedehydrogenasecytochromebsubunit
K00242	sdhDfrdDsuccinatedehydrogenasemembraneanchorsubunit
K18859	sdhDfrdDsuccinatedehydrogenasesubunitD
K18860	sdhDfrdDsuccinatedehydrogenasesubunitD
K00244	frdAsuccinatedehydrogenaseflavoproteinsubunit[EC1.3.5.1]
K00245	frdBsuccinatedehydrogenaseiron-sulfursubunit[EC1.3.5.1]
K00246	frdCsuccinatedehydrogenasesubunitC
K00247	frdDsuccinatedehydrogenasesubunitD
K00233	frdAfdrAsuccinatedehydrogenaseflavoproteinsubunit[EC1.3.5.17.1.1.12]
K25995	frdBfdrBsuccinatedehydrogenaseiron-sulfursubunit[EC1.3.5.17.1.1.12]
K25996	frdCfdrCsuccinatedehydrogenasesubunitC
K26318	fccAfcc3fumaratereductase(cytochrome)[EC1.3.2.4]
K01676	E4.2.1.2AfumAfumBfumaratehydrataseclassI[EC4.2.1.2]
K01677	E4.2.1.2AAfumAfumaratehydratasesubunitalpha[EC4.2.1.2]
K01678	E4.2.1.2ABfumBfumaratehydratasesubunitbeta[EC4.2.1.2]
K01679	E4.2.1.2BfumCFHfumaratehydrataseclassII[EC4.2.1.2]
K01675	fumDfumaratehydrataseD[EC4.2.1.2]
K01774	fumEfumaratehydrataseE[EC4.2.1.2]
K00025	MDH1malatedehydrogenase[EC1.1.1.37]
K00026	MDH2malatedehydrogenase[EC1.1.1.37]
K00024	mdhmalatedehydrogenase[EC1.1.1.37]
K00116	mqomalatedehydrogenase(quinone)[EC1.1.5.4]
K01958	PCpycpyruvatecarboxylase[EC6.4.1.1]
K01959	pycApyruvatecarboxylasesubunitA[EC6.4.1.1]
K01960	pycBpyruvatecarboxylasesubunitB[EC6.4.1.1]
K00036	G6PDzwfglucose-6-phosphate1-dehydrogenase[EC1.1.1.491.1.1.363]
K19243	azfNAD+dependentglucose-6-phosphatedehydrogenase[EC1.1.1.388]
K01057	PGLSpgldevB6-phosphogluconolactonase[EC3.1.1.31]
K07404	pgl6-phosphogluconolactonase[EC3.1.1.31]
K13937	H6PDhexose-6-phosphatedehydrogenase[EC1.1.1.473.1.1.31]
K00033	PGDgndgntZ6-phosphogluconatedehydrogenase[EC1.1.1.441.1.1.343]
K01783	rpeRPEribulose-phosphate3-epimerase[EC5.1.3.1]
K00615	E2.2.1.1tktAtktBtransketolase[EC2.2.1.1]
K00616	TALDO1talBtalAtransaldolase[EC2.2.1.2]
K01807	rpiAribose5-phosphateisomeraseA[EC5.3.1.6]
K01808	rpiBribose5-phosphateisomeraseB[EC5.3.1.6]
K13812	fae-hpsbifunctionalenzymeFae/Hps[EC4.2.1.1474.1.2.43]
K08093	hxlA3-hexulose-6-phosphatesynthase[EC4.1.2.43]
K08094	hxlB6-phospho-3-hexuloisomerase[EC5.3.1.27]
K13831	hps-phi3-hexulose-6-phosphatesynthase/6-phospho-3-hexuloisomerase[EC4.1.2.435.3.1.27]
K11214	SHPKsedoheptulokinase[EC2.7.1.14]
K01621	xfpxpkxylulose-5-phosphate/fructose-6-phosphatephosphoketolase[EC4.1.2.94.1.2.22]
K01619	deoCDERAdeoxyribose-phosphatealdolase[EC4.1.2.4]
K00852	rbsKRBKSribokinase[EC2.7.1.15]
K01839	deoBphosphopentomutase[EC5.4.2.7]
K22199	ppmphosphopentomutase[EC5.4.2.7]
K21056	E2.7.1.212alpha-D-ribose-1-phosphate5-kinase(ADP)[EC2.7.1.212]
K26208	E2.7.1.239alpha-D-ribose-1-phosphate5-kinase(ATP)[EC2.7.1.239]
K18237	K18237ribose15-bisphosphateisomerase[EC5.3.1.29]
K05774	phnNribose15-bisphosphokinase[EC2.7.4.23]
K00948	PRPSprsAribose-phosphatepyrophosphokinase[EC2.7.6.1]
K01690	eddphosphogluconatedehydratase[EC4.2.1.12]
K01625	eda2-dehydro-3-deoxyphosphogluconatealdolase/(4S)-4-hydroxy-2-oxoglutaratealdolase[EC4.1.2.144.1.3.42]
K17463	dgaF2-dehydro-3-deoxy-phosphogluconatealdolase[EC4.1.2.14]
K11395	kdpgA2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonatealdolase[EC4.1.2.55]
K00034	gdhglucose1-dehydrogenase[EC1.1.1.47]
K22969	gdhglucose1-dehydrogenase[EC1.1.1.47]
K21840	HOXhexoseoxidase[EC1.1.3.5]
K18124	gdh2gdhAglucose/galactose1-dehydrogenase(NADP+)[EC1.1.1.360]
K18125	ssgdhaldose1-dehydrogenase[NAD(P)+][EC1.1.1.359]
K00115	GLDglucose1-dehydrogenase(FADquinone)[EC1.1.5.9]
K19813	gdhglucosedehydrogenase[EC1.1.5.9]
K00117	gcdquinoproteinglucosedehydrogenase[EC1.1.5.2]
K01053	gnlRGNgluconolactonase[EC3.1.1.17]
K06151	E1.1.99.3Agluconate2-dehydrogenasealphachain[EC1.1.99.3]
K06152	E1.1.99.3Ggluconate2-dehydrogenasegammachain[EC1.1.99.3]
K00090	ghrBglyoxylate/hydroxypyruvate/2-ketogluconatereductase[EC1.1.1.791.1.1.811.1.1.215]
K22229	K222292-ketogluconatereductase[EC1.1.1.215]
K11441	kguKdehydrogluconokinase[EC2.7.1.13]
K00032	E1.1.1.43phosphogluconate2-dehydrogenase[EC1.1.1.43]
K00851	idnKgntKgluconokinase[EC2.7.1.12]
K25031	gntKgluconokinase[EC2.7.1.12]
K05308	gnaDgluconate/galactonatedehydratase[EC4.2.1.140]
K00874	kdgK2-dehydro-3-deoxygluconokinase[EC2.7.1.45]
K18126	sskdgK2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase[EC2.7.1.178]
K18127	kdgA2-dehydro-3-deoxy-D-gluconatealdolase[EC4.1.2.51]
K03738	aoraldehydeferredoxinoxidoreductase[EC1.2.7.5]
K18020	cutAglyceraldehydedehydrogenaselargesubunit[EC1.2.99.8]
K18021	cutBglyceraldehydedehydrogenasemediumsubunit[EC1.2.99.8]
K18022	cutCglyceraldehydedehydrogenasesmallsubunit[EC1.2.99.8]
K18128	gadhD-glyceraldehydedehydrogenase(NADP+)[EC1.2.1.89]
K11529	gckgckAGLYCTKglycerate2-kinase[EC2.7.1.165]
K22345	E4.3.1.9glucosaminateammonia-lyase[EC4.3.1.9]
K17464	dgaAD-glucosaminatePTSsystemEIIAcomponent[EC2.7.1.203]
K17465	dgaBD-glucosaminatePTSsystemEIIBcomponent[EC2.7.1.203]
K17466	dgaCD-glucosaminatePTSsystemEIICcomponent
K17467	dgaDD-glucosaminatePTSsystemEIIDcomponent
K17468	dgaED-glucosaminate-6-phosphateammonia-lyase[EC4.3.1.29]
K01051	E3.1.1.11pectinesterase[EC3.1.1.11]
K22539	PLYpectatelyase[EC4.2.2.2]
K01728	pelpectatelyase[EC4.2.2.2]
K19551	pelCpectatelyaseC[EC4.2.2.24.2.2.10]
K01731	pelWpectatedisaccharide-lyase[EC4.2.2.9]
K22994	pelXpectatedisaccharide-lyase[EC4.2.2.9]
K01730	ogloligogalacturonidelyase[EC4.2.2.6]
K26933	kdgFunsaturatedpyranuronatelyase[EC4.2.99.25]
K01815	kduI4-deoxy-L-threo-5-hexosulose-uronateketol-isomerase[EC5.3.1.17]
K00065	kduD2-dehydro-3-deoxy-D-gluconate5-dehydrogenase[EC1.1.1.127]
K01184	E3.2.1.15polygalacturonase[EC3.2.1.15]
K01213	E3.2.1.67galacturan14-alpha-galacturonidase[EC3.2.1.67]
K22933	lplDgalacturan14-alpha-galacturonidase[EC3.2.1.67]
K01812	uxaCglucuronateisomerase[EC5.3.1.12]
K00041	uxaBtagaturonatereductase[EC1.1.1.58]
K01685	uxaAaltronatehydrolase[EC4.2.1.7]
K16849	uxaA1altronatedehydratasesmallsubunit[EC4.2.1.7]
K16850	uxaA2altronatedehydrataselargesubunit[EC4.2.1.7]
K01686	uxuAmannonatedehydratase[EC4.2.1.8]
K08323	rspAmanDmannonatedehydratase[EC4.2.1.8]
K00040	uxuBfructuronatereductase[EC1.1.1.57]
K21619	uxaEtagaturonateepimerase[EC5.1.2.7]
K08322	rspBL-gulonate5-dehydrogenase[EC1.1.1.380]
K18106	GAAAD-galacturonatereductase[EC1.1.1.-]
K19634	gar1D-galacturonatereductase[EC1.1.1.365]
K18102	GAABLGD1L-galactonatedehydratase[EC4.2.1.146]
K18103	GAACLGA1L-threo-3-deoxy-hexylosonatealdolase[EC4.1.2.54]
K18107	GAADL-glyceraldehydereductase[EC1.1.1.372]
K01195	uidAGUSBbeta-glucuronidase[EC3.2.1.31]
K14756	KLklotho[EC3.2.1.31]
K00699	UGTglucuronosyltransferase[EC2.4.1.17]
K16190	GLCAKglucuronokinase[EC2.7.1.43]
K12447	USPUDP-sugarpyrophosphorylase[EC2.7.7.64]
K00012	UGDHugdUDPglucose6-dehydrogenase[EC1.1.1.22]
K00963	UGP2galUgalFUTP--glucose-1-phosphateuridylyltransferase[EC2.7.7.9]
K13247	CRYL1L-gulonate3-dehydrogenase[EC1.1.1.45]
K08092	dlgD3-dehydro-L-gulonate2-dehydrogenase[EC1.1.1.130]
K00880	lyxKL-xylulokinase[EC2.7.1.53]
K03078	ulaDsgaHsgbH3-dehydro-L-gulonate-6-phosphatedecarboxylase[EC4.1.1.85]
K03079	ulaEsgaUsgbUL-ribulose-5-phosphate3-epimerase[EC5.1.3.22]
K03077	araDulaFsgaEsgbEL-ribulose-5-phosphate4-epimerase[EC5.1.3.4]
K01804	araAL-arabinoseisomerase[EC5.3.1.4]
K00853	araBL-ribulokinase[EC2.7.1.16]
K24707	E2.7.1.16ribulokinase[EC2.7.1.16]
K00854	xylBXYLBxylulokinase[EC2.7.1.17]
K01805	xylAxyloseisomerase[EC5.3.1.5]
K00011	AKR1Baldehydereductase[EC1.1.1.21]
K00594	xyoAaldOalditoloxidase[EC1.1.3.41]
K17743	XYL1XYRAD-xylosereductase[EC1.1.1.3071.1.1.4301.1.1.431]
K26066	XYRBD-xylose/L-arabinosereductase(NADPH)[EC1.1.1.4311.1.1.-]
K03331	DCXRL-xylulosereductase[EC1.1.1.10]
K25879	LXRAL-xylulosereductase[EC1.1.1.10]
K25880	LADAL-arabinitol4-dehydrogenase[EC1.1.1.12]
K25881	LARAL-arabinosereductase[EC1.1.1.-]
K01820	rhaAL-rhamnoseisomerase/sugarisomerase[EC5.3.1.145.3.1.-]
K00848	rhaBrhamnulokinase[EC2.7.1.5]
K01629	rhaDrhamnulose-1-phosphatealdolase[EC4.1.2.19]
K17738	ARDD-arabinitol2-dehydrogenase[EC1.1.1.250]
K17818	ARD1D-arabinitoldehydrogenase(NADP+)[EC1.1.1.287]
K00007	dalDD-arabinitol4-dehydrogenase[EC1.1.1.11]
K09988	lyxAD-lyxoseketol-isomerase[EC5.3.1.15]
K05351	E1.1.1.9D-xylulosereductase[EC1.1.1.9]
K00008	SORDgutBL-iditol2-dehydrogenase[EC1.1.1.14]
K22185	xylBD-xylose1-dehydrogenase[EC1.1.1.175]
K00078	DHDHdihydrodioldehydrogenase/D-xylose1-dehydrogenase(NADP)[EC1.3.1.201.1.1.179]
K14273	xdhD-xylose1-dehydrogenase(NADP+D-xylono-15-lactone-forming)[EC1.1.1.179]
K14274	xylCxylono-15-lactonase[EC3.1.1.110]
K24442	xacAD-xylose1-dehydrogenase(NADP+D-xylono-14-lactone-forming)[EC1.1.1.424]
K24443	xacCD-xylono/L-arabinono-14-lactonase[EC3.1.1.683.1.1.15]
K14275	xadD-xylonatedehydratase[EC4.2.1.82]
K22186	xylDxylonatedehydratase[EC4.2.1.82]
K22396	yjhGyagFxylonatedehydratase[EC4.2.1.82]
K22397	yjhHyagE2-dehydro-3-deoxy-D-pentonatealdolase[EC4.1.2.28]
K14259	kdaDxacEkdxD2-dehydro-3-deoxy-D-arabinonatedehydratase[EC4.2.1.141]
K13877	aldH25-dioxopentanoatedehydrogenase[EC1.2.1.26]
K19588	dopDH25-dioxopentanoatedehydrogenase[EC1.2.1.26]
K22187	xylAalpha-ketoglutaricsemialdehydedehydrogenase[EC1.2.1.-]
K00875	rbtKFGGYD-ribulokinase[EC2.7.1.47]
K22935	XK1pskD-ribulokinase[EC2.7.1.47]
K00039	rbtDribitol2-dehydrogenase[EC1.1.1.56]
K21680	E1.1.1.137ribulose-5-phosphate2-dehydrogenase[EC1.1.1.137]
K05352	tarJribitol-5-phosphate2-dehydrogenase(NADP+)[EC1.1.1.405]
K21681	bcs1ribitol-5-phosphate2-dehydrogenase(NADP+)/D-ribitol-5-phosphatecytidylyltransferase[EC1.1.1.4052.7.7.40]
K21030	tarID-ribitol-5-phosphatecytidylyltransferase[EC2.7.7.40]
K21031	ISPDD-ribitol-5-phosphatecytidylyltransferase[EC2.7.7.40]
K01818	fucIL-fucose/D-arabinoseisomerase[EC5.3.1.255.3.1.3]
K00879	fucKL-fuculokinase[EC2.7.1.51]
K01628	fucAL-fuculose-phosphatealdolase[EC4.1.2.17]
K01218	gmuGmannanendo-14-beta-mannosidase[EC3.2.1.78]
K19355	MANmannanendo-14-beta-mannosidase[EC3.2.1.78]
K00847	E2.7.1.4scrKfructokinase[EC2.7.1.4]
K01809	manAMPImannose-6-phosphateisomerase[EC5.3.1.8]
K16011	algAxanBrfbAwbpWpslBmannose-1-phosphateguanylyltransferase/mannose-6-phosphateisomerase[EC2.7.7.135.3.1.8]
K17497	PMMphosphomannomutase[EC5.4.2.8]
K01840	manBphosphomannomutase[EC5.4.2.8]
K16881	K16881mannose-1-phosphateguanylyltransferase/phosphomannomutase[EC2.7.7.135.4.2.8]
K00971	manCcpsBmannose-1-phosphateguanylyltransferase[EC2.7.7.13]
K00966	GMPPmannose-1-phosphateguanylyltransferase[EC2.7.7.13]
K01711	gmdGMDSGDPmannose46-dehydratase[EC4.2.1.47]
K02377	TSTA3fclGDP-L-fucosesynthase[EC1.1.1.271]
K00976	FPGTfucose-1-phosphateguanylyltransferase[EC2.7.7.30]
K18447	NUDX14ADP-sugardiphosphatase[EC3.6.1.21]
K05305	FUKfucokinase[EC2.7.1.52]
K00064	E1.1.1.122D-threo-aldose1-dehydrogenase[EC1.1.1.122]
K18333	E1.1.1.435L-fucosedehydrogenase[EC1.1.1.435]
K07046	E3.1.1.120L-fucono-15-lactonase[EC3.1.1.120]
K18334	fucDL-fuconatedehydratase[EC4.2.1.68]
K18335	E1.1.1.4342-dehydro-3-deoxy-L-fuconate4-dehydrogenase[EC1.1.1.434]
K18336	lra624-didehydro-3-deoxy-L-rhamnonatehydrolase[EC3.7.1.26]
K26911	fucH2-dehydro-3-deoxy-L-fuconatealdolase[EC4.1.2.64]
K18337	LRA1L-rhamnose1-dehydrogenase[EC1.1.1.3781.1.1.3771.1.1.173]
K18338	LRA2L-rhamnono-14-lactonase[EC3.1.1.65]
K12661	LRA3rhmDL-rhamnonatedehydratase[EC4.2.1.90]
K18339	LRA42-keto-3-deoxy-L-rhamnonatealdolase[EC4.1.2.53]
K12660	rhmA2-dehydro-3-deoxy-L-rhamnonatealdolase[EC4.1.2.53]
K01813	rhaAL-rhamnoseisomerase[EC5.3.1.14]
K21883	lra52-dehydro-3-deoxy-L-rhamnonatedehydrogenase(NAD+)[EC1.1.1.401]
K05947	E2.4.1.217mannosyl-3-phosphoglyceratesynthase[EC2.4.1.217]
K07026	E3.1.3.70mannosyl-3-phosphoglyceratephosphatase[EC3.1.3.70]
K18818	mgsmannosylglyceratesynthase[EC2.4.1.269]
K19028	PFKFB16-phosphofructo-2-kinase/fructose-26-biphosphatase1[EC2.7.1.1053.1.3.46]
K19029	PFKFB26-phosphofructo-2-kinase/fructose-26-biphosphatase2[EC2.7.1.1053.1.3.46]
K01103	PFKFB36-phosphofructo-2-kinase/fructose-26-biphosphatase3[EC2.7.1.1053.1.3.46]
K19030	PFKFB46-phosphofructo-2-kinase/fructose-26-biphosphatase4[EC2.7.1.1053.1.3.46]
K00900	E2.7.1.105PFK6-phosphofructo-2-kinase[EC2.7.1.105]
K14634	TIGARfructose-26-bisphosphatase[EC3.1.3.46]
K00009	mtlDmannitol-1-phosphate5-dehydrogenase[EC1.1.1.17]
K00068	srlDsorbitol-6-phosphate2-dehydrogenase[EC1.1.1.140]
K19956	sorEL-sorbose1-phosphatereductase[EC1.1.1.-]
K00846	KHKketohexokinase[EC2.7.1.3]
K00882	fruK1-phosphofructokinase[EC2.7.1.56]
K08261	E1.1.99.21D-sorbitoldehydrogenase(acceptor)[EC1.1.99.21]
K17742	SOU1sorbosereductase[EC1.1.1.289]
